state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,abs_pearson_corr
NT,15,hazardous_recycling_tonnes,cadmium_water_kg,15,-0.19367948502843646,0.19367948502843646
NT,15,hazardous_recycling_tonnes,cadmium_land_kg,15,0.5877439142617852,0.5877439142617852
NT,15,hazardous_recycling_tonnes,nickel_air_kg,15,-0.17557855958370136,0.17557855958370136
NT,15,hazardous_recycling_tonnes,nickel_water_kg,15,-0.21355084195507423,0.21355084195507423
NT,15,hazardous_recycling_tonnes,nickel_land_kg,15,-0.07420619408600428,0.07420619408600428
NT,15,hazardous_recycling_tonnes,chromium_air_kg,15,0.2225820088307232,0.2225820088307232
NT,15,hazardous_recycling_tonnes,chromium_water_kg,15,-0.07600501992819729,0.07600501992819729
NT,15,hazardous_recycling_tonnes,chromium_land_kg,15,-0.060066613583854254,0.060066613583854254
NT,15,hazardous_recycling_tonnes,copper_air_kg,15,-0.24679234780276008,0.24679234780276008
NT,15,hazardous_recycling_tonnes,copper_water_kg,15,-0.11716651544246386,0.11716651544246386
NT,15,hazardous_recycling_tonnes,copper_land_kg,15,0.0019863132674639637,0.0019863132674639637
NT,15,hazardous_recycling_tonnes,zinc_air_kg,15,-0.2772748277831266,0.2772748277831266
NT,15,hazardous_recycling_tonnes,zinc_water_kg,15,0.057543045361112044,0.057543045361112044
NT,15,hazardous_recycling_tonnes,zinc_land_kg,15,0.3175403965175539,0.3175403965175539
NT,15,hazardous_recycling_tonnes,tvoc_air_kg,15,0.6286603598163558,0.6286603598163558
NT,15,hazardous_recycling_tonnes,tvoc_water_kg,15,-0.09167169491489642,0.09167169491489642
NT,15,hazardous_recycling_tonnes,tvoc_land_kg,15,-0.09167169491489643,0.09167169491489643
NT,15,hazardous_recycling_tonnes,pm10_air_kg,15,0.44164735618104317,0.44164735618104317
NT,15,hazardous_recycling_tonnes,pm10_water_kg,15,,
NT,15,hazardous_recycling_tonnes,pm10_land_kg,15,,
NT,15,hazardous_recycling_tonnes,pm25_air_kg,15,-0.06752613578430261,0.06752613578430261
NT,15,hazardous_recycling_tonnes,pm25_water_kg,15,,
NT,15,hazardous_recycling_tonnes,pm25_land_kg,15,,
NT,15,hazardous_disposal_tonnes,total_air_emission_kg,15,0.276768300670979,0.276768300670979
NT,15,hazardous_disposal_tonnes,total_water_emission_kg,15,0.3369554484164786,0.3369554484164786
NT,15,hazardous_disposal_tonnes,total_land_emission_kg,15,0.26600783159441854,0.26600783159441854
NT,15,hazardous_disposal_tonnes,lead_air_kg,15,-0.10097174505918208,0.10097174505918208
NT,15,hazardous_disposal_tonnes,lead_water_kg,15,-0.19322753640362034,0.19322753640362034
NT,15,hazardous_disposal_tonnes,lead_land_kg,15,-0.07873667187621868,0.07873667187621868
NT,15,hazardous_disposal_tonnes,mercury_air_kg,15,-0.40610455316395155,0.40610455316395155
NT,15,hazardous_disposal_tonnes,mercury_water_kg,15,0.04756982047193161,0.04756982047193161
NT,15,hazardous_disposal_tonnes,mercury_land_kg,15,0.769101911066444,0.769101911066444
NT,15,hazardous_disposal_tonnes,cadmium_air_kg,15,-0.42212312195832447,0.42212312195832447
NT,15,hazardous_disposal_tonnes,cadmium_water_kg,15,-0.34013564619462533,0.34013564619462533
NT,15,hazardous_disposal_tonnes,cadmium_land_kg,15,0.0879118236646537,0.0879118236646537
NT,15,hazardous_disposal_tonnes,nickel_air_kg,15,-0.37296290340594046,0.37296290340594046
NT,15,hazardous_disposal_tonnes,nickel_water_kg,15,-0.10692544956683837,0.10692544956683837
NT,15,hazardous_disposal_tonnes,nickel_land_kg,15,-0.11506798005661789,0.11506798005661789
NT,15,hazardous_disposal_tonnes,chromium_air_kg,15,0.36304823331251646,0.36304823331251646
NT,15,hazardous_disposal_tonnes,chromium_water_kg,15,0.0641859850462707,0.0641859850462707
NT,15,hazardous_disposal_tonnes,chromium_land_kg,15,-0.11200400826996433,0.11200400826996433
NT,15,hazardous_disposal_tonnes,copper_air_kg,15,-0.37370711207889246,0.37370711207889246
NT,15,hazardous_disposal_tonnes,copper_water_kg,15,-0.28280739553977674,0.28280739553977674
NT,15,hazardous_disposal_tonnes,copper_land_kg,15,-0.17063009698144674,0.17063009698144674
NT,15,hazardous_disposal_tonnes,zinc_air_kg,15,-0.4283253706794157,0.4283253706794157
NT,15,hazardous_disposal_tonnes,zinc_water_kg,15,-0.11677759980085348,0.11677759980085348
NT,15,hazardous_disposal_tonnes,zinc_land_kg,15,-0.10531184107141336,0.10531184107141336
NT,15,hazardous_disposal_tonnes,tvoc_air_kg,15,0.7861667639084684,0.7861667639084684
NT,15,hazardous_disposal_tonnes,tvoc_water_kg,15,-0.13838403600245155,0.13838403600245155
NT,15,hazardous_disposal_tonnes,tvoc_land_kg,15,-0.1383840360024515,0.1383840360024515
NT,15,hazardous_disposal_tonnes,pm10_air_kg,15,0.8246439026517345,0.8246439026517345
NT,15,hazardous_disposal_tonnes,pm10_water_kg,15,,
