state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
NSW,2003-2004,1235498117.5418024,35404631.8435224,2589776.8992,21896.95367735,3489.4394355,50.838,1737.10680235,3.3956218,0.2595,777.0892718,522.8015129,5.055700000000001,8879.3505682,221.9167195,7.248,10804.85159525,3042.6525965,20399.277000000002,345320.5675619,24303.0922139,425.29999999999995,66099.145972,57023.833615,97.251,12553994.8958,160437.3,1481.443,65455991.584,0.0,0.0,0.0,0.0,0.0
NSW,2004-2005,1241853772.677239,33085677.274925,2221900.417123569,18222.18847699,277.3526475,69.305,1848.02431142,0.47465,0.1326,565.7131358,3.1870963000000003,0.6718,7527.61911494,277.6678875,11.853700104,9985.7093727,11019.21791,20445.982500290003,158842.68772694,26646.557976,316.19370055400003,56561.136794699996,53961.376675,138.926200959,13592343.8447,166630.30000000002,579.931,71085262.94017,0.0,0.0,0.0,0.0,0.0
NSW,2005-2006,1236887010.844883,35807791.481325,245153.3619,13973.68554888,357.190357,91.60849999999999,1666.374929602,90.76091799999999,0.174,517.2075942,3.9307730000000003,3.8220000000000005,7665.16687285,368.213549,10.429829999999999,9339.208389385,2228.44791,7654.0769,47609.57452473,26323.99418,202.011,56211.3039363,42728.131327,110.50043,12694556.83,165725.5,874.23,78850216.91178,0.0,0.0,0.0,0.0,0.0
NSW,2006-2007,1251623471.5958555,35501176.971878,384366.7492,15361.4788947,637.2575,31.9721,1362.0465938,61.679190000000006,0.2424,676.3534452,6.31014,6.2143,7649.1403078,494.7594,7.809200000000001,10117.471237599999,1938.4118,8706.8974,50589.958605894,29222.9248,94.75880000000001,75173.6642902,50256.614400000006,52.646699999999996,12313304.75141,175827.7,462.5,82755175.9524,0.0,0.0,0.0,0.0,0.0
NSW,2007-2008,1278062848.0356627,40693618.457566,305964.16535749997,12420.035697480636,784.47557,318.11014,1271.960637682551,103.746697,18.468719,706.267915544446,8.19727,2.3171995,7919.430246846918,381.72191,640.04904,11029.371684919051,491.93656999999996,14171.708455,41953.78914189533,25435.9134,17062.46072,94087.46463010457,44601.5532,44.059208999999996,11638640.121378684,0.0,0.0,94158675.04026356,0.0,0.0,5021369.37781666,0.0,0.0
NSW,2008-2009,1028485505.9257222,38015673.29702659,318902.7647657861,11330.821656471639,315.87814653,79.24680239599999,628.672666808911,94.188006229,5.212420860000001,385.226106439247,9.5572300518,2.8059895289,7785.783226664927,83905.7100736,99.434445596,11024.024060703947,256.05630225,25961.36445996,38911.1808304823,23944.61298884,6588.857236336,41766.1535893312,400497.1743327,182.973236336,11936965.45522708,0.0,0.0,85605588.24300748,0.0,0.0,6662165.425338776,0.0,0.0
NSW,2009-2010,891570897.9600347,39527750.28199863,224237.150856686,10172.036723582321,33.0722082465,142.246748834,647.6479913534124,25.398830828999998,0.5192952421,1074.573204993232,3.0205300518000002,3.8477557085,7191.0193216944,44085.2206194936,62.766524034,9170.26013491696,182.05311625000002,32354.5804181402,40232.1794940033,25012.86202284,5668.289147728299,44574.629612384204,303220.3145617,1983.9356133283002,12605899.605593147,0.0,0.0,85864799.9760153,0.0,0.0,5333926.06479328,0.0,0.0
NSW,2010-2011,851667135.1003118,38252337.49984787,669561.5516128929,25362.844906950093,145.949007188,207.2248375031424,744.8033204736721,35.7374623276,2.69303781665088,793.522808018659,34.7843225386,8.5621757939872,7701.960922134247,1624.480702885,184.924025285416,10500.300454567123,747.076931245,38033.76141365109,88681.21903471781,24904.915533581,5418.385009452379,82251.937323124,482313.09548235,118.57955767846398,11163515.411903538,0.0,0.0,107674947.9594433,0.0,0.0,5401738.9250130225,0.0,0.0
NSW,2011-2012,825940708.2753527,40632884.45251254,1005281.6828915891,43388.83274263799,210.77363063925,207.03575532476634,564.3511825472096,24.7487415845875,2.6797295523931024,704.6737425449877,4.174794965,9.466854477059186,9402.719419467448,61722.815354305996,189.0041218837187,12655.671929248096,338.174860674,28742.13702085725,75858.22395293675,28419.242080415,5720.729221934228,140684.23408327164,418307.97431752895,97.35573106951625,10121258.57213845,0.0,0.0,134208489.42049444,0.0,0.0,5708933.468738414,0.0,0.0
NSW,2012-2013,786603233.3431771,36261301.95898162,971964.8743971663,39540.57006701831,474.636690732,213.3567071917763,493.2825608110047,23.55579715516,3.3068396103573936,772.7382779791938,10.692252081,5.4638178535058435,9601.300348091112,1078.552666402,140.85790533042808,13686.940981078105,1701.2081648859998,23398.98659559474,65846.19230921847,24069.753359764,3349.5112328076652,131599.3742162081,35708.608365428,34.42439452271236,9273878.470356762,0.0,0.0,140693211.21768433,0.0,0.0,5417593.410716791,0.0,0.0
