state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr
NSW,15,hazardous_recycling_tonnes,lead_land_kg,15,-0.20801190579418002,0.010714285714285713,0.20801190579418002,0.010714285714285713
NSW,15,hazardous_recycling_tonnes,zinc_water_kg,15,0.205282113983128,-0.014285714285714282,0.205282113983128,0.014285714285714282
NSW,15,hazardous_recycling_tonnes,nickel_air_kg,15,0.2052098221147972,0.18928571428571428,0.2052098221147972,0.18928571428571428
NSW,15,hazardous_recycling_tonnes,total_land_emission_kg,15,-0.20191162384181485,-0.11428571428571425,0.20191162384181485,0.11428571428571425
NSW,15,hazardous_recycling_tonnes,chromium_land_kg,15,0.17589484915397613,0.2785714285714285,0.17589484915397613,0.2785714285714285
NSW,15,hazardous_recycling_tonnes,total_air_emission_kg,15,-0.16557498825829217,-0.1714285714285714,0.16557498825829217,0.1714285714285714
NSW,15,hazardous_recycling_tonnes,tvoc_land_kg,15,-0.15552447174916603,-0.24743582965269673,0.15552447174916603,0.24743582965269673
NSW,15,hazardous_recycling_tonnes,tvoc_water_kg,15,-0.15552447174916603,-0.24743582965269673,0.15552447174916603,0.24743582965269673
NSW,15,hazardous_recycling_tonnes,chromium_water_kg,15,0.13914340140894907,-0.017857142857142853,0.13914340140894907,0.017857142857142853
NSW,15,hazardous_recycling_tonnes,total_water_emission_kg,15,0.11650531703233577,0.09285714285714285,0.11650531703233577,0.09285714285714285
NSW,15,hazardous_recycling_tonnes,cadmium_land_kg,15,0.09752942212952634,0.125,0.09752942212952634,0.125
NSW,15,hazardous_recycling_tonnes,lead_water_kg,15,0.08759979398622167,-0.0964285714285714,0.08759979398622167,0.0964285714285714
NSW,15,hazardous_recycling_tonnes,tvoc_air_kg,15,-0.08415786945150687,-0.1357142857142857,0.08415786945150687,0.1357142857142857
NSW,15,hazardous_recycling_tonnes,chromium_air_kg,15,0.07711403720444827,0.175,0.07711403720444827,0.175
NSW,15,hazardous_recycling_tonnes,pm10_air_kg,15,0.06536046405804924,0.2678571428571428,0.06536046405804924,0.2678571428571428
NSW,15,hazardous_recycling_tonnes,lead_air_kg,15,0.05325943938561272,0.3214285714285714,0.05325943938561272,0.3214285714285714
NSW,15,hazardous_recycling_tonnes,cadmium_water_kg,15,-0.040218304044510426,-0.0035714285714285704,0.040218304044510426,0.0035714285714285704
NSW,15,hazardous_recycling_tonnes,nickel_land_kg,15,0.03151272862637636,-0.175,0.03151272862637636,0.175
NSW,15,hazardous_recycling_tonnes,zinc_air_kg,15,0.0030421850613223463,0.25357142857142856,0.0030421850613223463,0.25357142857142856
NSW,15,hazardous_recycling_tonnes,pm10_land_kg,15,,,,
NSW,15,hazardous_recycling_tonnes,pm10_water_kg,15,,,,
NSW,15,hazardous_recycling_tonnes,pm25_land_kg,15,,,,
NSW,15,hazardous_recycling_tonnes,pm25_water_kg,15,,,,
NT,15,ewaste_proxy_tonnes,tvoc_air_kg,15,0.8473116855116638,0.18928571428571428,0.8473116855116638,0.18928571428571428
NT,15,ewaste_proxy_tonnes,pm10_air_kg,15,0.7565220005972481,0.35,0.7565220005972481,0.35
NT,15,ewaste_proxy_tonnes,mercury_land_kg,15,0.7088291132250889,0.3428571428571428,0.7088291132250889,0.3428571428571428
NT,15,ewaste_proxy_tonnes,zinc_air_kg,15,-0.41866132524571587,-0.05714285714285713,0.41866132524571587,0.05714285714285713
NT,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.41206583226686544,0.08928571428571427,0.41206583226686544,0.08928571428571427
NT,15,ewaste_proxy_tonnes,cadmium_air_kg,15,-0.41184551981307227,-0.09999999999999999,0.41184551981307227,0.09999999999999999
NT,15,ewaste_proxy_tonnes,copper_air_kg,15,-0.3684164746103499,0.11071428571428568,0.3684164746103499,0.11071428571428568
NT,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.36674337722237116,0.014285714285714282,0.36674337722237116,0.014285714285714282
NT,15,ewaste_proxy_tonnes,chromium_air_kg,15,0.3488569769231008,0.5535714285714285,0.3488569769231008,0.5535714285714285
NT,15,ewaste_proxy_tonnes,total_air_emission_kg,15,0.34450855502574124,0.6,0.34450855502574124,0.6
NT,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.33254735605995406,0.27499999999999997,0.33254735605995406,0.27499999999999997
NT,15,ewaste_proxy_tonnes,nickel_air_kg,15,-0.3228868969223543,0.3607142857142856,0.3228868969223543,0.3607142857142856
NT,15,ewaste_proxy_tonnes,cadmium_water_kg,15,-0.31607209088715077,-0.3214285714285714,0.31607209088715077,0.3214285714285714
NT,15,ewaste_proxy_tonnes,copper_water_kg,15,-0.24073084130897715,-0.0035714285714285704,0.24073084130897715,0.0035714285714285704
NT,15,ewaste_proxy_tonnes,lead_water_kg,15,-0.2207181369900957,0.007142857142857141,0.2207181369900957,0.007142857142857141
NT,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.19530443596105626,0.2642857142857143,0.19530443596105626,0.2642857142857143
NT,15,ewaste_proxy_tonnes,lead_air_kg,15,-0.14496500896068687,-0.12142857142857141,0.14496500896068687,0.12142857142857141
NT,15,ewaste_proxy_tonnes,pm25_air_kg,15,-0.13905735194258276,0.34642857142857136,0.13905735194258276,0.34642857142857136
NT,15,ewaste_proxy_tonnes,tvoc_water_kg,15,-0.1370990669735651,-0.24743582965269673,0.1370990669735651,0.24743582965269673
