report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2013/2014,NT,Lead,12447.78553448378,108.862948037,11.610131992857143,36
2013/2014,NT,Mercury,202.4887584529841,1.10480553,0.419924837265306,34
2013/2014,QLD,Cadmium,4241.906324048574,40.887977868,10.033419413618356,255
2013/2014,QLD,Lead,141392.71785197206,71.9804976,119.1049737343526,289
2013/2014,QLD,Mercury,2263.0404499166025,5.917122673,1.281778223695643,327
2013/2014,SA,Cadmium,6995.036562308068,954.59,20.230316855716985,82
2013/2014,SA,Lead,67426.16709550036,6850.745,34.565901732226415,93
2013/2014,SA,Mercury,236.78452145677628,8.35,4.352747253059299,103
2013/2014,TAS,Cadmium,134.9692066143838,669.476867,0.723653072588679,37
2013/2014,TAS,Lead,2174.9851771960225,3808.3468,3.813232874649057,43
2013/2014,TAS,Mercury,31.99703135775188,57.4084872,0.0080733369395147,49
2013/2014,VIC,Cadmium,299.294141433045,167.6645,3.3264784939356145,196
2013/2014,VIC,Lead,12267.594156230094,584.23,15.714934272210265,225
2013/2014,VIC,Mercury,1702.406209337087,22.07791,1.4129766594400972,240
