health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
potential_years_of_life_lost,nickel_water_kg,40,27,2.762268695893777,0.049751602636957715,0.049751602636957715,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,copper_air_kg,40,27,-0.061005011146516,-0.03727976096281531,0.03727976096281531,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,cadmium_water_kg,40,27,1.6568260938971133,0.011662380046223164,0.011662380046223164,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,chromium_land_kg,40,27,-0.0428274223194267,-0.004221936625213037,0.004221936625213037,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,lead_land_kg,40,27,-0.007622013605254521,-0.001721475548449064,0.001721475548449064,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,copper_land_kg,40,27,0.02357933828543966,0.0011565125150413275,0.0011565125150413275,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potentially_avoidable_deaths,zinc_air_kg,40,27,-0.06798939820426572,-2.290987056341775,2.290987056341775,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,nickel_air_kg,40,27,-0.034272378147118046,-1.4725000211250787,1.4725000211250787,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,pm10_air_kg,40,27,2.0597509610003857e-05,1.3655885685445857,1.3655885685445857,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,total_air_emission_kg,40,27,8.054010302296333e-06,1.2898335944233246,1.2898335944233246,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,pm25_air_kg,40,27,0.0007807588895592588,1.0279934096265024,1.0279934096265024,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,total_water_emission_kg,40,27,0.0001908129462585506,0.8653057445260226,0.8653057445260226,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,chromium_air_kg,40,27,-0.021545853261590343,-0.7571683050695577,0.7571683050695577,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,cadmium_land_kg,40,27,16.35832373172682,0.39884479329617706,0.39884479329617706,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
potentially_avoidable_deaths,tvoc_air_kg,40,27,5.454828312967473e-05,0.27308201138289834,0.27308201138289834,106.09622680536921,0.9948955897961613,0.9834106668375243,877691315.9059019
